Date,Open,High,Low,Close,Volume,Adj Close
2017-04-07,7.53,7.56,7.51,7.53,1503000,7.53
2017-04-06,7.55,7.62,7.54,7.56,2126400,7.56
2017-04-05,7.56,7.59,7.46,7.46,2645900,7.46
2017-04-04,7.41,7.47,7.38,7.46,2175600,7.46
2017-04-03,7.48,7.50,7.35,7.45,2584800,7.45
2017-03-31,7.56,7.65,7.55,7.61,1687500,7.61
2017-03-30,7.67,7.75,7.64,7.71,2877700,7.569
2017-03-29,7.70,7.77,7.66,7.76,2548800,7.618086
2017-03-28,7.85,7.90,7.83,7.87,2324500,7.726074
2017-03-27,7.75,7.84,7.72,7.83,3400100,7.686805
2017-03-24,7.72,7.78,7.72,7.77,3314400,7.627903
2017-03-23,7.74,7.78,7.70,7.72,2832200,7.578817
2017-03-22,7.73,7.80,7.68,7.68,3263900,7.539548
2017-03-21,7.78,7.80,7.61,7.63,3643900,7.490463
2017-03-20,7.61,7.67,7.56,7.58,1816800,7.441377
2017-03-17,7.64,7.66,7.57,7.58,3003400,7.441377
2017-03-16,7.55,7.63,7.52,7.63,4202400,7.490463
2017-03-15,7.29,7.32,7.24,7.26,2687000,7.12723
2017-03-14,7.29,7.29,7.20,7.21,2059700,7.078144
2017-03-13,7.31,7.35,7.31,7.33,2912900,7.195949
2017-03-10,7.26,7.40,7.25,7.36,3397900,7.225401
2017-03-09,7.27,7.32,7.21,7.31,4664600,7.176315
2017-03-08,7.06,7.08,6.97,6.97,2797200,6.842533
2017-03-07,6.90,7.00,6.90,6.98,8037400,6.85235
2017-03-06,6.97,7.01,6.96,7.00,4243300,6.871984
2017-03-03,6.91,7.04,6.90,7.02,4764700,6.891619
2017-03-02,6.74,6.76,6.69,6.70,3018100,6.577471
2017-03-01,6.66,6.78,6.66,6.75,3493300,6.626556
2017-02-28,6.55,6.59,6.52,6.54,1604200,6.420397
2017-02-27,6.49,6.55,6.49,6.55,1694700,6.430214
2017-02-24,6.40,6.46,6.39,6.44,2278600,6.322226
2017-02-23,6.55,6.55,6.48,6.53,2854600,6.41058
2017-02-22,6.46,6.57,6.44,6.57,3700400,6.449848
2017-02-21,6.60,6.64,6.58,6.62,2180000,6.498934
2017-02-17,6.62,6.67,6.60,6.67,1781200,6.548019
