YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1952,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,18.83,15.83,10.43,6.53,999.90,999.90,999.90,15.03,999.90
1953,4.63,6.13,10.03,13.03,19.33,20.23,25.83,26.73,21.23,14.63,10.83,9.42,5.76,14.13,24.26,15.56,14.93
1954,4.12,6.62,9.72,12.62,17.52,21.82,25.82,23.62,22.02,17.02,12.42,7.51,6.72,13.29,23.75,17.15,15.23
1955,9.41,7.41,9.21,15.91,20.01,22.21,26.31,26.11,21.61,15.61,9.81,8.50,8.11,15.04,24.88,15.68,15.93
1956,6.60,2.60,10.40,12.10,16.70,20.90,23.40,23.60,20.20,15.20,7.70,4.50,5.90,13.07,22.63,14.37,13.99
1957,3.60,8.70,12.70,12.10,16.00,19.80,25.50,26.00,21.90,14.80,8.90,4.09,5.60,13.60,23.77,15.20,14.54
1958,5.99,9.49,9.79,11.89,18.39,19.99,24.89,24.69,23.19,15.59,9.79,8.28,6.52,13.36,23.19,16.19,14.82
1959,7.48,7.78,10.88,13.08,16.28,21.98,26.88,24.28,19.88,15.18,9.88,7.38,7.85,13.41,24.38,14.98,15.15
1960,6.18,7.78,10.88,14.08,17.68,23.48,25.28,23.58,20.88,13.08,9.78,5.57,7.11,14.21,24.11,14.58,15.01
1961,5.27,10.67,13.27,14.77,18.87,22.27,25.57,25.67,22.77,15.07,10.17,7.86,7.17,15.64,24.50,16.00,15.83
1962,7.56,7.96,9.56,13.06,17.16,21.86,25.56,26.76,22.86,17.26,8.34,5.93,7.79,13.26,24.73,16.15,15.48
1963,7.23,5.53,10.93,13.03,17.43,20.93,25.03,23.43,19.63,16.33,11.43,6.33,6.23,13.80,23.13,15.80,14.74
1964,6.03,8.83,10.13,13.03,20.93,22.23,26.03,24.93,23.93,14.33,9.53,6.32,7.06,14.70,24.40,15.93,15.52
1965,6.12,5.82,11.12,13.42,19.42,25.22,24.22,25.02,18.12,16.22,9.72,7.71,6.09,14.65,24.82,14.69,15.06
1966,9.51,9.91,9.61,13.21,17.81,20.91,24.91,24.81,22.51,14.51,7.71,6.11,9.04,13.54,23.54,14.91,15.26
1967,5.61,7.91,12.31,12.11,15.01,19.81,26.41,24.41,20.21,17.21,10.91,4.70,6.54,13.14,23.54,16.11,14.84
1968,6.10,8.30,10.00,13.00,16.10,22.50,25.40,24.40,20.60,18.10,9.90,7.79,6.37,13.03,24.10,16.20,14.93
1969,7.59,5.99,9.89,12.89,15.89,19.69,26.09,24.79,17.99,16.19,8.79,5.78,7.12,12.89,23.52,14.32,14.47
1970,8.28,7.28,8.18,12.98,17.08,21.78,26.08,24.48,22.88,14.58,12.38,3.58,7.11,12.75,24.11,16.61,15.15
1971,5.48,8.28,7.58,12.78,14.58,18.68,24.68,23.58,21.23,17.03,8.13,7.82,5.78,11.65,22.31,15.46,13.80
1972,5.32,8.02,10.02,12.32,15.72,20.72,24.82,23.32,18.02,13.92,10.82,6.61,7.05,12.69,22.95,14.25,14.24
1973,5.91,6.91,8.81,12.51,16.61,20.71,24.51,26.01,20.81,14.51,10.01,5.80,6.48,12.64,23.74,15.11,14.49
1974,7.80,7.30,9.80,11.20,17.10,19.90,25.50,24.60,20.50,12.70,10.00,6.60,6.97,12.70,23.33,14.40,14.35
1975,7.60,8.80,8.60,12.40,14.40,20.40,26.00,24.90,18.90,16.20,9.80,5.79,7.67,11.80,23.77,14.97,14.55
1976,6.09,8.29,10.39,11.39,18.49,22.99,25.09,23.99,18.89,13.29,7.69,8.58,6.72,13.42,24.02,13.29,14.37
1977,7.08,9.58,10.78,13.78,14.78,18.78,21.98,22.28,21.68,15.78,999.90,9.58,8.41,13.11,21.01,15.97,14.63
1978,6.08,9.18,10.58,11.88,14.68,18.68,25.68,25.08,22.48,15.48,9.88,8.97,8.28,12.38,23.15,15.95,14.94
1979,8.17,8.37,9.97,11.67,17.37,22.77,25.37,24.77,21.17,14.97,9.57,7.76,8.50,13.00,24.30,15.24,15.26
1980,6.46,8.56,10.76,12.26,14.76,21.26,23.76,26.56,23.46,15.56,8.96,5.65,7.59,12.59,23.86,15.99,15.01
1981,5.65,6.95,12.25,12.05,15.55,23.25,24.95,25.15,21.75,16.15,11.75,8.75,6.08,13.28,24.45,16.55,15.09
1982,8.65,8.55,10.65,13.45,17.95,22.35,25.25,24.85,20.75,14.95,10.15,7.24,8.65,14.02,24.15,15.28,15.53
1983,5.64,5.84,11.84,12.24,15.14,23.74,25.64,24.14,23.54,16.84,13.34,6.83,6.24,13.07,24.51,17.91,15.43
1984,5.73,6.43,7.33,14.83,11.63,19.63,25.73,23.03,19.93,14.43,10.43,7.03,6.33,11.26,22.80,14.93,13.83
1985,3.93,9.63,9.03,13.23,14.63,22.03,26.73,24.73,24.03,16.63,9.43,6.32,6.86,12.30,24.50,16.70,15.09
1986,5.72,6.82,10.22,9.32,18.32,22.62,25.82,23.82,21.52,16.02,9.22,5.71,6.29,12.62,24.09,15.59,14.65
1987,5.01,7.51,11.41,13.91,17.01,22.61,24.91,26.11,23.61,14.51,10.51,8.80,6.08,14.11,24.54,16.21,15.24
1988,8.60,7.80,11.10,12.80,16.10,19.10,24.60,25.90,21.70,13.30,10.60,5.80,8.40,13.33,23.20,15.20,15.03
1989,6.00,8.50,12.10,11.20,18.10,22.30,27.70,26.60,20.50,16.90,12.80,10.49,6.77,13.80,25.53,16.73,15.71
1990,6.49,11.09,11.39,11.69,17.99,23.49,26.89,26.59,22.79,15.79,9.59,5.18,9.36,13.69,25.66,16.06,16.19
1991,5.68,6.08,11.08,11.78,15.78,23.38,26.38,27.58,22.58,13.08,9.48,6.98,5.65,12.88,25.78,15.05,14.84
1992,4.18,6.98,10.88,13.98,19.18,18.28,26.08,25.68,21.08,14.08,11.08,8.07,6.05,14.68,23.35,15.41,14.87
1993,5.47,7.67,10.67,12.37,16.37,21.47,25.47,25.27,19.07,12.67,9.07,7.16,7.07,13.14,24.07,13.60,14.47
1994,6.76,7.56,13.16,12.46,17.66,22.66,27.66,26.66,19.16,16.36,11.76,7.05,7.16,14.43,25.66,15.76,15.75
1995,7.05,9.45,11.25,14.25,19.65,22.75,26.85,26.05,18.85,17.65,12.55,9.05,7.85,15.05,25.22,16.35,16.12
1996,8.75,6.95,10.15,13.95,16.25,23.15,25.55,24.05,19.05,15.45,10.55,8.44,8.25,13.45,24.25,15.02,15.24
1997,7.44,10.14,13.64,16.24,17.44,20.64,24.04,25.54,23.04,17.94,10.84,7.73,8.67,15.77,23.41,17.27,16.28
1998,7.53,10.23,12.93,11.93,16.13,22.83,26.53,26.83,21.63,14.73,10.23,5.53,8.50,13.66,25.40,15.53,15.77
1999,6.03,7.43,10.93,13.73,18.13,22.43,26.53,25.63,20.83,16.13,8.63,6.72,6.33,14.26,24.86,15.20,15.16
2000,4.82,9.82,11.62,11.78,18.18,23.58,25.18,25.28,21.48,15.78,9.88,8.17,7.12,13.86,24.68,15.71,15.34
2001,7.87,8.67,12.87,13.47,17.17,23.67,24.47,25.97,20.77,16.87,8.27,3.76,8.24,14.50,24.70,15.30,15.69
2002,7.46,8.86,11.56,13.66,16.26,23.86,25.66,24.66,20.46,15.86,10.96,9.06,6.69,13.83,24.73,15.76,15.25
2003,6.86,7.16,12.26,13.86,18.76,25.86,26.26,27.36,22.06,15.06,11.06,7.05,7.69,14.96,26.49,16.06,16.30
2004,7.65,8.05,9.65,12.45,15.65,24.55,26.45,25.35,22.16,15.76,8.96,6.85,7.58,12.58,25.45,15.63,15.31
2005,4.75,4.85,10.45,13.95,19.05,25.85,27.35,26.05,20.75,16.05,8.55,5.84,5.48,14.48,26.42,15.12,15.38
2006,5.24,6.54,11.34,14.54,20.14,24.24,28.14,25.04,22.54,17.44,12.64,6.74,5.87,15.34,25.81,17.54,16.14
2007,6.44,9.44,9.84,13.34,16.44,20.84,25.34,24.64,21.64,15.44,8.64,5.83,7.54,13.21,23.61,15.24,14.90
2008,7.83,8.93,10.73,14.03,16.03,21.83,25.53,25.93,20.23,14.83,7.93,6.42,7.53,13.60,24.43,14.33,14.97
2009,5.12,7.62,11.62,12.22,19.32,24.22,26.72,27.42,21.62,17.62,12.20,7.20,6.39,14.39,26.12,17.15,16.01
2010,6.40,7.60,9.80,14.70,16.70,21.90,27.70,26.50,21.60,14.70,9.30,6.89,7.07,13.73,25.37,15.20,15.34
2011,6.99,8.89,10.59,16.69,19.29,22.99,25.29,26.09,22.39,17.39,11.89,7.08,7.59,15.52,24.79,17.22,16.28
2012,6.38,6.08,11.28,12.38,19.48,24.88,25.98,26.78,21.68,15.58,10.48,6.87,6.51,14.38,25.88,15.91,15.67
2013,999.90,7.17,10.27,12.87,15.17,21.11,26.71,26.31,22.21,16.51,9.41,5.81,6.72,12.77,24.71,16.04,15.06
2014,8.21,7.41,11.21,16.21,18.11,22.51,24.81,25.51,22.01,18.01,11.11,6.70,7.14,15.18,24.28,17.04,15.91
2015,5.50,6.80,10.70,14.30,19.60,24.41,30.21,26.08,20.46,15.55,11.70,999.90,6.33,14.87,26.90,15.90,16.00
